Track ID,Danceability,Energy,Loudness,Acousticness,Instrumentalness,Liveness,Speechiness,Tempo,Key,Mode
4KW1lqgSr8TKrvBII0Brf8,0.724,0.573,-4.113,0.118,0,0.538,0.0549,113.088,7,1
2ZXxRC6V6AXzMdbLQZMHSB,0.704,0.537,-8.565,0.223,0,0.122,0.302,77.444,0,1
4GXl8l1MfZPf2GvpyRPJBf,0.706,0.716,-4.263,0.115,0,0.316,0.0768,136.904,7,0
7BbaIYAdi3pg4MGl6PHwPv,0.693,0.575,-7.633,0.121,0,0.104,0.0906,138.016,2,1
1h6kgem1ai8vUgO1rZOwfB,0.742,0.844,-4.622,0.000634,0,0.0659,0.0479,131.986,2,1
4FyesJzVpA39hbYvcseO2d,0.486,0.545,-7.924,0.0652,0.00474,0.0642,0.0336,150.187,11,1
4F6yN5FsFW10Ucx7cLCzBh,0.793,0.395,-5.578,0.277,1.4e-05,0.109,0.385,77.027,1,1
75lcPkAkUsKWHGBlGM476R,0.825,0.572,-6.067,0.0079,0,0.113,0.0864,141.991,6,0
1Y5Jvi3eLi4Chwqch9GMem,0.825,0.414,-6.634,0.00265,0,0.357,0.144,72.993,2,1
5SWnsxjhdcEDc7LJjq9UHk,0.819,0.626,-4.574,0.00748,0.101,0.167,0.202,143.01,10,0
7fEoXCZTZFosUFvFQg1BmW,0.82,0.592,-7.002,0.0149,4.71e-06,0.121,0.29,159.98,1,1
57BGVV6wcyhbn3hsjlqEZB,0.772,0.878,-4.22,0.0301,2.18e-06,0.251,0.324,61.311,2,1
59J5nzL1KniFHnU120dQzt,0.785,0.62,-6.667,0.0138,0,0.15,0.254,78.477,8,1
5vDNippoMr52KpXBO9b9KQ,0.92,0.547,-4.98,0.0241,1.45e-06,0.0998,0.272,138.05,6,0
6r9xnueU24r4eoG3HXC87E,0.807,0.625,-6.67,0.0741,0,0.487,0.351,146.031,0,1
5EoYSiXiv2QKCjnJct6wEA,0.793,0.764,-4.536,0.00207,0,0.14,0.253,139.155,1,1
5f4Hy5mw5SRaUgXX9c6P5S,0.827,0.552,-7.571,0.0169,0,0.122,0.274,124.011,4,0
7ACW7VpgoKmfM1sKo15UhX,0.748,0.713,-6.399,0.00496,0,0.245,0.355,75.591,6,1
4VHkjPgAis9JNfc1URn7zZ,0.73,0.643,-7.811,8.47e-05,0,0.203,0.0984,141.961,6,0
0wbnC9AUenxp613TYaJsGK,0.936,0.585,-6.914,0.0142,0,0.132,0.125,124.991,0,1
2t8yVaLvJ0RenpXUIAC52d,0.837,0.636,-7.643,0.0395,0.00125,0.342,0.086,145.972,1,1
7oJrVhiTPZGBXWPwhxjy9S,0.718,0.767,-5.641,0.138,0,0.114,0.166,160.084,9,1
1MJErNPIQUoEMu4YUUmecm,0.859,0.563,-6.635,0.0541,0,0.0685,0.112,119.934,1,0
4v1P7JCjehbg5TmLQo2mFy,0.638,0.526,-8.401,0.275,0,0.462,0.131,139.054,7,1
1WIZiOuNO3woKfdlSK2gNn,0.804,0.66,-4.86,0.0319,0,0.103,0.0726,94.053,10,0
5BJMeoCXXgbRAWfp6fTulr,0.894,0.511,-4.768,0.0251,0,0.14,0.421,120.077,2,1
2oHM9KAdFdFvDCaE4V6RST,0.82,0.47,-7.181,0.00435,0,0.141,0.0458,132.003,8,1
3L0IKstjUgDFVQAbQIRZRv,0.725,0.725,-6.067,0.0119,0,0.086,0.159,140.003,8,0
1bDbXMyjaUIooNwFE9wn0N,0.561,0.52,-9.342,0.0503,1.86e-06,0.355,0.244,153.15,11,0
1bDbXMyjaUIooNwFE9wn0N,0.561,0.52,-9.342,0.0503,1.86e-06,0.355,0.244,153.15,11,0
6pcywuOeGGWeOQzdUyti6k,0.847,0.733,-6.439,0.00574,1.04e-05,0.151,0.16,130.029,10,0
0Pq8CSHDXInMK8atOkWSAv,0.788,0.603,-6.959,0.00439,0.000232,0.144,0.1,142.943,5,0
1qMMYpVatbRITKCfq1gasi,0.883,0.657,-5.748,0.0603,0,0.128,0.305,124.992,8,1
45GDh5cZcRVOAyQqZWxiUt,0.819,0.563,-8.621,0.0126,0,0.21,0.706,158.017,1,0
45GDh5cZcRVOAyQqZWxiUt,0.819,0.563,-8.621,0.0126,0,0.21,0.706,158.017,1,0
50a8bKqlwDEqeiEknrzkTO,0.892,0.633,-7.471,0.0467,0.000189,0.139,0.0902,137.994,8,1
50a8bKqlwDEqeiEknrzkTO,0.892,0.633,-7.471,0.0467,0.000189,0.139,0.0902,137.994,8,1
1dg3qy5DjoJodawfOCgrTP,0.88,0.575,-6.091,0.415,0,0.109,0.163,120.031,6,1
293mQGfVwgXIOdA1GpiwAt,0.762,0.649,-5.624,0.58,1.7e-05,0.0971,0.0527,145.09,11,0
293mQGfVwgXIOdA1GpiwAt,0.762,0.649,-5.624,0.58,1.7e-05,0.0971,0.0527,145.09,11,0
3ruoIF2UnoXdzK8mR61ebq,0.825,0.733,-5.625,0.349,0,0.112,0.0969,97.974,1,0
3ruoIF2UnoXdzK8mR61ebq,0.825,0.733,-5.625,0.349,0,0.112,0.0969,97.974,1,0
